knot,april,june,verdict,unknotting_crossings,in_crossing_dataset
13a_3836,"[1,1]","[1,1]",u = 1,[4],True
13a_3837,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3838,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3839,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_384,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_3840,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3841,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3842,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3843,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3844,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3847,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3848,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3849,"[1,1]","[1,1]",u = 1,[7],True
13a_385,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3851,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3853,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3854,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3855,"[1,1]","[1,1]",u = 1,[3],True
13a_3856,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3858,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_386,"[1,1]","[1,1]",u = 1,[8],True
13a_3860,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3861,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3862,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3863,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3865,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3866,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3868,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3870,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3871,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_3873,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3875,"[1,1]","[1,1]",u = 1,[1],True
13a_3876,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3878,"[1,1]","[1,1]",u = 1,[1],True
13a_388,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3880,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3881,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3883,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3884,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3885,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3886,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3887,"[1,1]","[1,1]",u = 1,"[1,8]",True
13a_3889,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_389,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3890,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3894,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3897,"[1,1]","[1,1]",u = 1,[4],True
13a_39,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_390,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
