knot,april,june,verdict,unknotting_crossings,in_crossing_dataset
13a_4149,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4150,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4151,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4152,"[1,1]","[1,1]",u = 1,[4],True
13a_4154,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4157,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4158,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4159,"[1,1]","[1,1]",u = 1,[12],True
13a_4160,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4161,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4162,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4163,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4165,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4166,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4167,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4168,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4169,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4170,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4173,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4175,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4176,"[1,1]","[1,1]",u = 1,[12],True
13a_4177,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4178,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4179,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4180,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4181,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4182,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4183,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4184,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4186,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4187,"[1,1]","[1,1]",u = 1,[0],True
13a_4189,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4197,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4199,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_42,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_420,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4204,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4205,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4208,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4209,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_421,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4210,"[1,1]","[1,1]",u = 1,[8],True
13a_4211,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4220,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4221,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4222,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4223,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4224,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4225,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4226,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4227,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4228,"[1,1]","[1,1]",u = 1,[0],True
13a_4229,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4234,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4235,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4236,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4237,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4238,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_424,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4240,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4241,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4242,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4243,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4244,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4245,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4246,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4247,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4248,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4249,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4250,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4251,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4253,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4254,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4255,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4256,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4257,"[1,1]","[1,1]",u = 1,"[2,3]",True
13a_4258,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4260,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4261,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4262,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4263,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4264,"[1,1]","[1,1]",u = 1,[0],True
13a_4265,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4266,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4268,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4269,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4271,"[1,1]","[1,1]",u = 1,[6],True
13a_4272,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4276,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4277,"[1,1]","[1,1]",u = 1,[8],True
13a_4278,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4279,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_428,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4280,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4282,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4283,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4284,"[1,1]","[1,1]",u = 1,"[2,3]",True
13a_4285,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4286,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4287,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4288,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4289,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_429,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4290,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4294,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4295,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4296,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4299,"[1,1]","[1,1]",u = 1,[0],True
13a_43,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_430,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4300,"[1,1]","[1,1]",u = 1,[0],True
13a_4301,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4307,"[1,1]","[1,1]",u = 1,[1],True
13a_4309,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_431,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4311,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4319,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_432,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_433,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4334,"[1,1]","[1,1]",u = 1,[4],True
13a_4337,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4338,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4339,"[1,1]","[1,1]",u = 1,"[0,2]",True
13a_4340,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4342,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4343,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4344,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4345,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4347,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4349,"[1,1]","[1,1]",u = 1,[1],True
13a_435,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4350,"[1,1]","[1,1]",u = 1,[4],True
13a_4351,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4352,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4353,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4354,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4355,"[1,1]","[1,1]",u = 1,[0],True
13a_4356,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4357,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4359,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_436,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4360,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4361,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4362,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4363,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4364,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4367,"[1,1]","[1,1]",u = 1,[3],True
13a_437,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4370,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4371,"[1,1]","[1,1]",u = 1,[12],True
13a_4372,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4373,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4374,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4375,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4376,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4377,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4378,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4389,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_439,"[1,1]","[1,1]",u = 1,[3],True
13a_4393,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4394,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4398,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4399,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_44,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4400,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4401,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4402,"[1,1]","[1,1]",u = 1,"[8,12]",True
13a_4403,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4405,"[1,1]","[1,1]",u = 1,[0],True
13a_4407,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4408,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4409,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_441,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4410,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4411,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4412,"[1,1]","[1,1]",u = 1,[7],True
13a_4413,"[1,1]","[1,1]",u = 1,"[0,4]",True
13a_4415,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4416,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4417,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4418,"[1,1]","[1,1]",u = 1,[2],True
13a_4419,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_442,"[1,1]","[1,1]",u = 1,[5],True
13a_4420,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4422,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4423,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4424,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4426,"[1,1]","[1,1]",u = 1,[1],True
13a_4427,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4428,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4429,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4430,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4431,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4433,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4437,"[1,1]","[1,1]",u = 1,[4],True
13a_4439,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_444,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4440,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4441,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4442,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4443,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4444,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4445,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4446,"[1,1]","[1,1]",u = 1,[0],True
13a_4447,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4448,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4449,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_445,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4450,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4451,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4452,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4455,"[1,1]","[1,1]",u = 1,[12],True
13a_4456,"[1,1]","[1,1]",u = 1,[1],True
13a_4457,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4458,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_446,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4462,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4463,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4466,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4469,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_447,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4470,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4471,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4472,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4473,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4474,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4475,"[1,1]","[1,1]",u = 1,[4],True
13a_4477,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4479,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4480,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4481,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4482,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4484,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4485,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4486,"[1,1]","[1,1]",u = 1,[0],True
13a_449,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4491,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4494,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4495,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4496,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4497,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4498,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4499,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_45,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_450,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4500,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4501,"[1,1]","[1,1]",u = 1,"[0,4]",True
13a_4502,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4503,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4504,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4505,"[1,1]","[1,1]",u = 1,[0],True
13a_4507,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4512,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4513,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4515,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4516,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4517,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4518,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4520,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4522,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4523,"[1,1]","[1,1]",u = 1,[4],True
13a_4524,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4525,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4526,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4531,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4532,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4533,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4535,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4536,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4537,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_454,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4541,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4542,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4543,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4544,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4545,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4546,"[1,1]","[1,1]",u = 1,"[0,3]",True
13a_455,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4557,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_456,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4578,"[1,1]","[1,1]",u = 1,[1],True
13a_458,"[1,1]","[1,1]",u = 1,[12],True
13a_4581,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4582,"[1,1]","[1,1]",u = 1,[0],True
13a_4583,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4585,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4586,"[1,1]","[1,1]",u = 1,[1],True
13a_4587,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4588,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_459,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4590,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4591,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4592,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4593,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4594,"[1,1]","[1,1]",u = 1,[5],True
13a_4596,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4597,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4598,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_46,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4600,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4601,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4602,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4603,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4604,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4605,"[1,1]","[1,1]",u = 1,[7],True
13a_4606,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_461,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4610,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4611,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4612,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4613,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4615,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4616,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4618,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4619,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_462,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4620,"[1,1]","[1,1]",u = 1,[12],True
13a_4621,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4625,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4627,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4628,"[1,1]","[1,1]",u = 1,[9],True
13a_4629,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_463,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4630,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4631,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4632,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4634,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4635,"[1,1]","[1,1]",u = 1,[11],True
13a_4637,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4638,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4639,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_464,"[1,1]","[1,1]",u = 1,[12],True
13a_4640,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4641,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4642,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4644,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4647,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4648,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4649,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_465,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4650,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4652,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4654,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4657,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_466,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4661,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4662,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4663,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4664,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4666,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4667,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4668,"[1,1]","[1,1]",u = 1,[2],True
13a_4669,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_467,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4670,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4671,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4672,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4673,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4674,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4675,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4676,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4677,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4678,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4679,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4680,"[1,1]","[1,1]",u = 1,"[1,5]",True
13a_4681,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4683,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4684,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4686,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4687,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4688,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4689,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_469,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4690,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4691,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4692,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4693,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4694,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4695,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4696,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_470,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4700,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4701,"[1,1]","[1,1]",u = 1,"[5,12]",True
13a_4705,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4706,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4707,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_471,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4710,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4711,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4712,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4714,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4715,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4716,"[1,1]","[1,1]",u = 1,[4],True
13a_4718,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4719,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_472,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4720,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4721,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4722,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4725,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4727,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4729,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_473,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4730,"[1,1]","[1,1]",u = 1,[11],True
13a_4732,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4733,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4735,"[1,1]","[1,1]",u = 1,[1],True
13a_4736,"[1,1]","[1,1]",u = 1,[7],True
